DATASET,CELLS
KAMIENNA,1919452320
TANEW,2142038719
WIEPRZ,6042483020
BARYCZ,6963447522
1_2000,2797364
1_4000,9620199
1_6000,18065352
1_8000,38178843
1_10000,51919919
1_12000,59713722
1_14000,71831748
1_16000,90681157
1_18000,133925789
1_20000,161461170
1_22000,172372605
1_24000,185003205
1_26000,260374150
1_28000,270873450
1_30000,289975950
1_32000,306503150
1_34000,336430400
1_36000,375484400
1_38000,375484400
1_40000,402963700
1_42000,415203450
1_44000,450408650
1_46000,814313596
1_48000,833082519
1_50000,866123907
1_52000,900756738
1_54000,1550391489
1_56000,1550391489
1_58000,1550391489
1_60000,1550391489
1_62000,1592819775
1_64000,1615687425
1_66000,1647666954
1_68000,1857265200
1_70000,1857265200
1_72000,1925473536
1_74000,1936110336
1_76000,1936110336
1_78000,1936110336
1_80000,1936110336
1_82000,2137456512
1_84000,2160269028
1_86000,2160269028
1_88000,2405694168
1_90000,2405694168
1_92000,2413493820
1_94000,2413493820
2_2000,700400
2_4000,2405267
2_6000,4521728
2_8000,9563100
2_10000,13000545
2_12000,14940831
2_14000,17972854
2_16000,22689092
2_18000,33717096
2_20000,40348035
2_22000,43071805
2_24000,46228105
2_26000,65069472
2_28000,67686112
2_30000,71688864
2_32000,76596832
2_34000,84071936
2_36000,93831296
2_38000,93831296
2_40000,100698208
2_42000,103753312
2_44000,112536736
2_46000,203538104
2_48000,208223092
2_50000,216898528
2_52000,225144612
2_54000,387573615
2_56000,387573615
2_58000,387573615
2_60000,387573615
2_62000,398179782
2_64000,403896207
2_66000,411899202
2_68000,464265000
2_70000,464265000
2_72000,481315200
2_74000,483974400
2_76000,483974400
2_78000,483974400
2_80000,483974400
2_82000,534082015
2_84000,539975536
2_86000,539975536
2_88000,601344389
2_90000,601344389
2_92000,603308896
2_94000,603308896
4_2000,152320
4_4000,604578
4_6000,1184848
4_8000,2387600
4_10000,3244880
4_12000,3736044
4_14000,4487886
4_16000,5668344
4_18000,8365896
4_20000,10042398
4_22000,10760964
4_24000,11536056
4_26000,16193835
4_28000,16929115
4_30000,17802260
4_32000,19071325
4_34000,21008505
4_36000,23454725
4_38000,23454725
4_40000,25165665
4_42000,25929225
4_44000,27283130
4_46000,50876467
4_48000,51804478
4_50000,54197105
4_52000,56282996
4_54000,96885720
4_56000,96885720
4_58000,96885720
4_60000,96885720
4_62000,99541810
4_64000,100966600
4_66000,102971860
4_68000,116044376
4_70000,116044376
4_72000,120306455
4_74000,120997795
4_76000,120997795
4_78000,120997795
4_80000,120997795
4_82000,133521278
4_84000,135031567
4_86000,135280838
4_88000,150354402
4_90000,150354402
4_92000,150867607
4_94000,150867607
6_2000,71868
6_4000,265050
6_6000,527505
6_8000,1064240
6_10000,1444505
6_12000,1661152
6_14000,1995066
6_16000,2522632
6_18000,3720188
6_20000,4466764
6_22000,4788184
6_24000,5132980
6_26000,7198278
6_28000,7525901
6_30000,7917163
6_32000,8508770
6_34000,9376146
6_36000,10425011
6_38000,10425011
6_40000,11186322
6_42000,11530444
6_44000,12129122
6_46000,22620330
6_48000,23024490
6_50000,24098040
6_52000,25024240
6_54000,42859976
6_56000,42859976
6_58000,42859976
6_60000,42859976
6_62000,44249744
6_64000,44836144
6_66000,45745064
6_68000,51588183
6_70000,51588183
6_72000,53476512
6_74000,53777888
6_76000,53777888
6_78000,53777888
6_80000,53777888
6_82000,59390232
6_84000,60045559
6_86000,60045559
6_88000,66843354
6_90000,66843354
6_92000,67087879
6_94000,67087879
8_2000,39546
8_4000,152324
8_6000,305368
8_8000,596900
8_10000,810280
8_12000,929084
8_14000,1271226
8_16000,1418208
8_18000,2093104
8_20000,2501145
8_22000,2649555
8_24000,2874144
8_26000,4025226
8_28000,4230198
8_30000,4456374
8_32000,4767366
8_34000,5249757
8_36000,5864673
8_38000,5864673
8_40000,6288753
8_42000,6481356
8_44000,6825921
8_46000,12719553
8_48000,12946857
8_50000,13553001
8_52000,24105438
8_54000,24105438
8_56000,24105438
8_58000,24105438
8_60000,24105438
8_62000,24232980
8_64000,24888282
8_66000,25728300
8_68000,29007888
8_70000,29007888
8_72000,30075552
8_74000,30248400
8_76000,30248400
8_78000,30248400
8_80000,30248400
8_82000,33389928
8_84000,33763860
8_86000,33763860
8_88000,37554504
8_90000,37554504
8_92000,37715808
8_94000,37715808
10_2000,23760
10_4000,101520
10_6000,193830
10_8000,383277
10_10000,520323
10_12000,611056
10_14000,816300
10_16000,909900
10_18000,1340977
10_20000,1600500
10_22000,1695948
10_24000,1840700
10_26000,2595528
10_28000,2710224
10_30000,2851824
10_32000,3106704
10_34000,3379992
10_36000,3756648
10_38000,3756648
10_40000,3828864
10_42000,4155960
10_44000,4371192
10_46000,8130928
10_48000,8274682
10_50000,8663070
10_52000,8997018
10_54000,15437880
10_56000,15437880
10_58000,15437880
10_60000,15437880
10_62000,15543330
10_64000,16119790
10_66000,16446685
10_68000,18570600
10_70000,18570600
10_72000,19251160
10_74000,19362838
10_76000,19362838
10_78000,19362838
10_80000,21361747
10_82000,21373481
10_84000,21608161
10_86000,21608161
10_88000,23591207
10_90000,23591207
10_92000,24142705
10_94000,24142705
